date,detox,cutting academia,dieta restritiva,transtorno alimentar,compulsao alimentar
2019-01-01,100,0,0,1,1
2019-02-01,64,0,0,1,1
2019-03-01,51,0,0,1,1
2019-04-01,46,0,0,2,1
2019-05-01,44,0,0,2,1
2019-06-01,41,0,0,2,1
2019-07-01,45,0,0,1,1
2019-08-01,56,0,0,1,1
2019-09-01,61,0,0,2,1
2019-10-01,59,0,0,2,1
2019-11-01,55,0,0,2,1
2019-12-01,47,0,0,1,1
2020-01-01,90,0,0,1,1
2020-02-01,61,0,0,1,1
2020-03-01,42,0,0,1,1
2020-04-01,43,0,0,1,1
2020-05-01,59,0,0,2,1
2020-06-01,63,0,0,2,1
2020-07-01,70,0,0,2,1
2020-08-01,68,0,0,2,1
2020-09-01,75,0,0,2,1
2020-10-01,59,0,0,2,1
2020-11-01,62,0,0,2,1
2020-12-01,50,0,0,2,0
2021-01-01,77,0,0,2,1
2021-02-01,54,0,0,2,1
2021-03-01,48,0,0,2,1
2021-04-01,47,0,0,4,1
2021-05-01,44,0,0,3,1
2021-06-01,43,0,0,4,1
2021-07-01,46,0,0,3,1
2021-08-01,47,0,0,3,1
2021-09-01,51,0,0,4,1
2021-10-01,46,0,0,4,1
2021-11-01,46,0,0,4,1
2021-12-01,41,0,0,3,1
2022-01-01,61,0,0,4,1
2022-02-01,51,0,0,4,1
2022-03-01,44,0,0,4,1
2022-04-01,41,0,0,4,1
2022-05-01,40,0,0,4,1
2022-06-01,39,0,0,4,1
2022-07-01,44,0,0,3,1
2022-08-01,48,0,0,4,1
2022-09-01,46,0,0,4,1
2022-10-01,50,0,0,4,1
2022-11-01,51,0,0,4,1
2022-12-01,46,0,0,3,1
2023-01-01,65,0,0,3,1
2023-02-01,54,0,0,3,1
2023-03-01,47,0,0,4,1
2023-04-01,43,0,0,4,1
2023-05-01,43,0,0,4,1
2023-06-01,37,0,0,4,1
2023-07-01,42,0,0,3,1
2023-08-01,42,0,0,3,1
2023-09-01,43,0,0,3,1
2023-10-01,41,0,0,4,1
2023-11-01,39,0,0,4,1
2023-12-01,36,0,0,2,1
2024-01-01,51,0,0,2,2
2024-02-01,38,0,0,2,1
2024-03-01,32,0,0,3,1
2024-04-01,33,0,0,3,1
2024-05-01,27,0,0,3,1
2024-06-01,30,0,0,3,1
2024-07-01,29,0,0,2,1
2024-08-01,28,0,0,2,1
2024-09-01,31,0,0,2,1
2024-10-01,32,0,0,3,1
2024-11-01,36,0,0,2,1
2024-12-01,34,0,0,1,1
